0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,0,0
0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,8,9,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,0,0
0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,8,9,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,0,0
0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,4,9,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,8,23,24,24,25,10,0,0
0,0,0,0,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0,0,0,0,0,0,0,0,8,30,31,31,32,10,0,0
0,0,0,0,8,9,9,9,6,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,10,0,0,0,0,7,7,7,7,7,8,30,31,31,32,10,0,0
0,0,0,0,8,9,9,9,9,9,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,9,9,9,9,9,10,0,0,0,0,14,14,14,14,14,8,30,31,31,32,10,0,0
0,0,0,0,8,20,9,9,9,9,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,9,9,9,6,9,10,0,0,0,0,1,2,2,2,2,4,30,26,38,39,10,0,0
0,0,0,0,8,9,9,9,9,9,30,18,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,9,9,9,9,9,10,0,0,0,0,8,23,24,24,24,24,34,32,12,16,17,0,0
7,7,7,7,8,9,9,9,9,9,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,9,9,9,9,9,10,0,0,0,0,8,30,31,31,31,31,31,32,10,0,0,0,0
14,14,14,14,8,9,9,9,9,9,30,31,31,31,31,31,31,31,31,31,31,19,31,31,31,31,32,9,20,9,9,9,10,7,7,7,7,8,30,31,31,31,31,31,32,10,0,0,0,0
